Strecke,Cup
Mario Kart-Stadion,Pilz-Cup
Marios Piste,Blumen-Cup
Sonnenflughafen,Stern-Cup
Wolkenstraße,Spezial-Cup
Kuhmuh-Weide (Wii),Panzer-Cup
Staubtrockene Wüste (GCN),Bananen-Cup
Wario-Arena (DS),Blatt-Cup
Ticktack-Trauma (DS),Blitz-Cup
Yoshis Piste (GCN),Ei-Cup
Warios Goldmine (Wii),Triforce-Cup
Baby-Park (GCN),Crossing-Cup
Koopa-Großstadtfieber (3DS),Glocken-Cup
Wasserpark,Pilz-Cup
Toads Hafenstadt,Blumen-Cup
Delfinlagune,Stern-Cup
Knochentrockene Dünen,Spezial-Cup
Marios Piste (GBA),Panzer-Cup
Donut-Ebene 3 (SNES),Bananen-Cup
Sorbet-Land (GCN),Blatt-Cup
Röhrenraserei (3DS),Blitz-Cup
Excitebike-Stadion,Ei-Cup
Regenbogen-Boulevard (SNES),Triforce-Cup
Käseland (GBA),Crossing-Cup
Party-Straße (GBA),Glocken-Cup
Zuckersüßer Canyon,Pilz-Cup
Gruselwusel-Villa,Blumen-Cup
Discodrom,Stern-Cup
Bowsers Festung,Spezial-Cup
Cheep-Cheep-Strand (DS),Panzer-Cup
Königliche Rennpiste (N64),Bananen-Cup
Instrumentalpiste (3DS),Blatt-Cup
Vulkangrollen (Wii),Blitz-Cup
Große Drachenmauer,Ei-Cup
Polarkreis-Parcours,Triforce-Cup
Wilder Wipfelweg,Crossing-Cup
Marios Metro,Glocken-Cup
Steinblock-Ruinen,Pilz-Cup
Shy Guys Wasserfälle,Blumen-Cup
Wario-Abfahrt,Stern-Cup
Regenbogen-Boulevard,Spezial-Cup
Toads Autobahn (N64),Panzer-Cup
DK Dschungel (3DS),Bananen-Cup
Yoshi-Tal (N64),Blatt-Cup
Regenbogen-Boulevard (N64),Blitz-Cup
Mute City,Ei-Cup
Hyrule-Piste,Triforce-Cup
Animal Crossing-Dorf,Crossing-Cup
Big Blue,Glocken-Cup
Paris-Parcours (Tour),Goldener Turbo-Cup
Toads Piste (3DS),Goldener Turbo-Cup
Schoko-Sumpf (N64),Goldener Turbo-Cup
Kokos-Promenade (Wii),Goldener Turbo-Cup
Tokio-Tempotour (Tour),Glückskatzen-Cup
Pilz-Pass (DS),Glückskatzen-Cup
Wolkenpiste (GBA),Glückskatzen-Cup
Ninja-Dojo (Tour),Glückskatzen-Cup
New-York-Speedway (Tour),Rüben-Cup
Marios Piste 3 (SNES),Rüben-Cup
Kalimari-Wüste (N64),Rüben-Cup
Waluigi-Flipper (DS),Rüben-Cup
Sydney-Spritztour (Tour),Propeller-Cup
Schneeland (GBA),Propeller-Cup
Pilz-Schlucht (Wii),Propeller-Cup
Eiscreme-Eskapade,Propeller-Cup
London-Tour (Tour),Fels-Cup
Buu-Huu-Tal (GBA),Fels-Cup
Gebirgspfad (3DS),Fels-Cup
Blätterwald (Wii),Fels-Cup
Pflaster von Berlin (Tour),Mond-Cup
Peachs Schlossgarten (DS),Mond-Cup
Bergbescherung (Tour),Mond-Cup
Regenbogen-Boulevard (3DS),Mond-Cup
Ausfahrt Amsterdam (Tour),Frucht-Cup
Flussufer-Park (GBA),Frucht-Cup
DK Skikane (Wii),Frucht-Cup
Yoshis Eiland,Frucht-Cup
Bangkok-Abendrot (Tour),Bumerang-Cup
Marios Piste (DS),Bumerang-Cup
Waluigi-Arena (GCN),Bumerang-Cup
Überholspur Singapur (Tour),Bumerang-Cup
Athen auf Abwegen (Tour),Feder-Cup
Daisys Dampfer (GCN),Feder-Cup
Mondblickstraße (Wii),Feder-Cup
Bad-Parcours,Feder-Cup
Los-Angeles-Strandpartie (Tour),Doppelkirschen-Cup
Sonnenuntergangs-Wüste (GBA),Doppelkirschen-Cup
Koopa-Kap (Wii),Doppelkirschen-Cup
Vancouver-Wildpfad (Tour),Doppelkirschen-Cup
Rom-Rambazamba (Tour),Eichel-Cup
DK-Bergland (GCN),Eichel-Cup
Daisys Piste (Wii),Eichel-Cup
Piranha-Pflanzen-Bucht (Tour),Eichel-Cup
Stadtrundfahrt Madrid (Tour),Stachi-Cup
Rosalinas Eisplanet (3DS),Stachi-Cup
Bowsers Festung 3 (SNES),Stachi-Cup
Regenbogen-Boulevard (Wii),Stachi-Cup
